里程,左轨平面偏差量,右轨平面偏差量,左轨高程偏差量,右轨高程偏差量,左轨平面调整量,右轨平面调整量,左轨高程调整量,右轨高程调整量
384765.13,3.90,3.80,5.70,5.90,0.00,0.00,0.00,0.00
384765.76,4.10,4.00,5.70,5.90,0.00,0.00,0.00,0.00
384766.38,4.10,3.90,5.70,5.80,0.00,0.00,0.00,0.00
384767.01,3.90,3.70,5.80,5.90,0.00,0.00,0.00,0.00
384767.63,3.80,3.60,5.70,5.90,0.00,0.00,0.50,0.50
384768.38,3.80,3.70,5.70,5.90,0.00,0.00,0.00,0.00
384769.01,3.90,3.70,5.70,5.90,0.00,0.00,0.50,0.50
384769.63,4.00,3.90,5.60,5.90,0.00,0.00,0.50,0.00
384770.26,3.90,3.60,5.70,5.80,0.00,0.00,0.50,0.50
384770.88,3.90,3.60,5.70,5.80,0.00,0.00,0.50,0.50
384771.63,3.90,3.50,5.60,5.60,0.00,0.00,1.00,1.00
384772.26,3.80,3.40,5.30,5.50,0.00,0.00,1.50,1.50
384772.88,4.00,3.70,5.10,5.40,-0.50,-0.50,1.50,1.00
384773.51,4.00,3.80,5.10,5.40,-0.50,-0.50,1.50,1.00
384774.13,3.90,3.80,5.20,5.50,-0.50,-0.50,2.00,1.50
384774.88,3.90,3.70,5.20,5.40,-0.50,-0.50,1.50,1.50
384775.51,3.80,3.50,5.00,5.10,0.00,0.00,2.00,2.00
384776.13,3.70,3.50,4.90,4.90,0.00,0.00,2.00,2.00
384776.76,3.70,3.40,4.80,4.90,0.00,0.00,2.50,2.50
384777.38,3.60,3.10,4.80,5.00,0.00,0.00,2.50,2.50
384778.13,3.40,3.20,4.70,5.10,0.00,0.00,2.50,2.00
384778.76,3.40,3.20,4.70,5.00,0.00,0.00,2.50,2.00
384779.38,3.60,3.40,4.80,5.00,0.00,0.00,2.50,2.50
384780.01,3.50,3.20,5.00,5.10,0.00,0.00,2.50,2.50
384780.63,3.40,3.10,5.20,5.10,0.00,0.00,2.50,2.50
384781.38,3.40,3.30,5.30,5.20,0.00,0.00,2.50,2.50
384782.00,3.50,3.30,5.20,5.20,0.00,0.00,2.50,2.50
384782.63,3.50,3.20,5.30,5.30,0.00,0.00,2.50,2.50
384783.25,3.40,3.20,5.40,5.60,0.00,0.00,2.00,2.00
384783.88,3.50,3.40,5.60,5.80,-0.50,-0.50,2.50,2.50
384784.63,3.60,3.30,5.60,5.90,0.00,0.00,2.50,2.00
384785.25,3.50,3.10,5.60,5.90,0.00,0.00,2.50,2.00
384785.88,3.50,3.10,5.60,6.00,0.00,0.00,2.50,2.00
384786.50,3.30,3.00,5.70,6.10,0.00,0.00,2.50,2.00
384787.13,3.30,3.20,5.80,6.10,0.00,0.00,2.50,2.00
384787.75,3.40,3.30,5.90,6.20,-0.50,-0.50,2.50,2.00
384788.50,3.40,3.30,6.10,6.40,-0.50,-0.50,2.00,1.50
384789.13,3.50,3.50,6.30,6.40,0.00,-0.50,2.00,2.00
384789.75,3.60,3.50,6.40,6.50,-0.50,-0.50,2.00,2.00
384790.38,3.60,3.40,6.50,6.50,-0.50,-0.50,2.00,2.00
384791.13,3.40,2.90,6.50,6.60,0.00,0.00,2.00,2.00
384791.75,3.30,2.80,6.50,6.70,0.00,0.00,2.00,2.00
384792.38,3.30,2.90,6.50,6.70,0.00,0.00,2.00,2.00
384793.00,3.40,3.00,6.60,6.60,0.00,0.00,2.00,2.00
384793.63,3.50,3.30,6.60,6.60,-0.50,-0.50,2.00,2.00
384794.38,3.60,3.40,6.60,6.60,-0.50,-0.50,2.00,2.00
384795.00,3.50,3.20,6.60,6.60,-0.50,-0.50,2.00,2.00
384795.63,3.30,3.10,6.60,6.70,0.00,0.00,2.50,2.50
384796.25,3.20,3.00,6.50,6.80,0.00,0.00,2.50,2.00
384796.88,3.10,2.90,6.60,6.80,0.00,0.00,2.00,2.00
384797.63,3.10,2.90,6.70,6.80,0.00,0.00,2.00,2.00
384798.25,3.30,3.10,6.80,6.70,0.00,0.00,2.50,2.50
384798.88,3.40,3.40,6.80,6.70,-0.50,-0.50,2.50,2.50
384799.50,3.50,3.20,6.70,6.70,-0.50,-0.50,2.50,2.50
384800.13,3.40,3.30,6.60,6.70,-0.50,-0.50,2.50,2.50
384800.88,3.20,3.30,6.40,6.60,0.00,-0.50,3.00,3.00
384801.50,3.10,3.10,6.50,6.70,0.00,-0.50,3.00,3.00
384802.13,3.10,3.00,6.60,6.70,0.00,0.00,2.50,2.50
384802.75,3.20,3.10,6.80,6.90,-0.50,-0.50,2.50,2.50
384803.38,3.30,3.30,6.90,6.90,-0.50,-0.50,2.50,2.50
384804.13,3.40,3.20,6.80,6.90,-0.50,-0.50,2.50,2.50
384804.75,3.60,3.20,6.60,6.80,-0.50,-0.50,3.00,3.00
