测量里程,中线北坐标X,中线东坐标Y,中线高程H
804900,3790886.987,481993.9987,41.7609
804901,3790886.002,481994.1752,41.7596
804902,3790885.018,481994.3516,41.7582
804903,3790884.034,481994.5281,41.7568
804904,3790883.049,481994.7044,41.7554
804905,3790882.065,481994.8804,41.7541
804906,3790881.081,481995.0565,41.7527
804907,3790880.096,481995.2332,41.7513
804908,3790879.112,481995.4103,41.7499
804909,3790878.128,481995.5869,41.7486
804910,3790877.144,481995.7632,41.7474
804911,3790876.159,481995.9394,41.7462
804912,3790875.175,481996.1152,41.745
804913,3790874.19,481996.2909,41.7437
804914,3790873.206,481996.4667,41.7425
804915,3790872.222,481996.6425,41.7414
804916,3790871.237,481996.8187,41.7404
804917,3790870.253,481996.9963,41.7396
804918,3790869.269,481997.1746,41.7389
804919,3790868.285,481997.3516,41.7378
804920,3790867.301,481997.5282,41.7359
804921,3790866.316,481997.7048,41.734
804922,3790865.332,481997.8811,41.7321
804923,3790864.348,481998.0573,41.7305
804924,3790863.363,481998.2335,41.7297
804925,3790862.379,481998.4097,41.729
804925.8715,3790861.521,481998.5633,41.7283
804926,3790861.395,481998.5859,41.7281
804927,3790860.41,481998.7622,41.7271
804928,3790859.426,481998.9386,41.726
804929,3790858.442,481999.115,41.725
804930,3790857.457,481999.2913,41.7239
804931,3790856.473,481999.4676,41.7229
804932,3790855.489,481999.6439,41.7218
804933,3790854.504,481999.8202,41.7208
804934,3790853.52,481999.9964,41.7197
804935,3790852.536,482000.1727,41.7187
804936,3790851.551,482000.3489,41.7176
804937,3790850.567,482000.5252,41.7166
804938,3790849.583,482000.7015,41.7155
804939,3790848.598,482000.8777,41.7145
804940,3790847.614,482001.054,41.7134
804941,3790846.629,482001.2303,41.7121
804942,3790845.645,482001.4065,41.7107
804943,3790844.661,482001.5828,41.7094
804944,3790843.676,482001.7591,41.7085
804945,3790842.692,482001.9353,41.7084
804946,3790841.708,482002.1116,41.7082
804947,3790840.723,482002.2879,41.7076
804948,3790839.739,482002.4641,41.706
804949,3790838.755,482002.6404,41.7043
804950,3790837.77,482002.8167,41.7031
804951,3790836.786,482002.9929,41.7026
804952,3790835.802,482003.1692,41.7011
804953,3790834.817,482003.3454,41.6997
804954,3790833.833,482003.5216,41.6981
804955,3790832.849,482003.6978,41.6963
804956,3790831.864,482003.8741,41.6945
804957,3790830.88,482004.0503,41.6925
804958,3790829.896,482004.2265,41.6904
804959,3790828.911,482004.4027,41.6885
804960,3790827.927,482004.579,41.6875
804961,3790826.943,482004.7552,41.6865
804962,3790825.958,482004.9314,41.6855
804963,3790824.974,482005.1076,41.6845
804964,3790823.99,482005.2839,41.6835
804965,3790823.005,482005.4601,41.6825
804966,3790822.021,482005.6363,41.6815
804967,3790821.036,482005.8125,41.6805
804968,3790820.052,482005.9887,41.6795
804969,3790819.068,482006.165,41.6785
804970,3790818.083,482006.3412,41.6775
804971,3790817.099,482006.5174,41.6765
804972,3790816.115,482006.6936,41.6755
804973,3790815.13,482006.8699,41.6744
804974,3790814.146,482007.0461,41.6734
804975,3790813.162,482007.2223,41.6724
804976,3790812.177,482007.3995,41.6714
804976.4101,3790811.774,482007.4721,41.671
804977,3790811.193,482007.5767,41.6704
804978,3790810.209,482007.754,41.6694
804979,3790809.225,482007.9313,41.6684
804980,3790808.241,482008.1086,41.6674
804981,3790807.257,482008.2859,41.6664
804982,3790806.273,482008.4632,41.6654
804983,3790805.288,482008.6405,41.6644
804984,3790804.304,482008.8178,41.6634
804985,3790803.32,482008.9938,41.6618
804986,3790802.336,482009.1704,41.6604
804987,3790801.351,482009.3472,41.6592
804988,3790800.367,482009.5235,41.6581
804989,3790799.383,482009.6998,41.6571
804990,3790798.398,482009.8763,41.6561
804991,3790797.414,482010.0526,41.6552
804992,3790796.43,482010.229,41.6547
804993,3790795.445,482010.4055,41.6539
804994,3790794.461,482010.5818,41.653
804995,3790793.477,482010.7582,41.6519
804996,3790792.492,482010.9346,41.6508
804997,3790791.508,482011.1113,41.6499
804998,3790790.524,482011.2872,41.6491
804999,3790789.539,482011.4633,41.6479
805000,3790788.555,482011.6397,41.6467
805001,3790787.571,482011.8163,41.6456
805002,3790786.586,482011.9929,41.6447
805003,3790785.602,482012.169,41.6441
805004,3790784.618,482012.3454,41.6434
805005,3790783.633,482012.5219,41.6428
805006,3790782.649,482012.6983,41.6423
805007,3790781.665,482012.8746,41.6417
805008,3790780.68,482013.0507,41.6411
805009,3790779.696,482013.2276,41.6404
805010,3790778.712,482013.4041,41.6398
805011,3790777.728,482013.5807,41.6391
805012,3790776.743,482013.7573,41.6385
805013,3790775.759,482013.9341,41.6378
805014,3790774.775,482014.1106,41.6372
805015,3790773.79,482014.287,41.6365
805016,3790772.806,482014.4637,41.6357
805017,3790771.822,482014.6403,41.6348
805018,3790770.838,482014.8167,41.634
805019,3790769.853,482014.9928,41.6331
805020,3790768.869,482015.1687,41.6323
805021,3790767.884,482015.3447,41.6322
805022,3790766.9,482015.5207,41.6321
805023,3790765.916,482015.6967,41.6313
805024,3790764.931,482015.8727,41.6302
805025,3790763.947,482016.0487,41.6297
805026,3790762.962,482016.2247,41.6294
805027,3790761.978,482016.4007,41.629
805028,3790760.994,482016.5765,41.6286
805029,3790760.009,482016.7522,41.6283
805030,3790759.025,482016.9275,41.6279
805031,3790758.04,482017.1026,41.6275
805032,3790757.056,482017.2775,41.6271
805032.1619,3790756.896,482017.3058,41.627
805033,3790756.071,482017.4524,41.6267
805034,3790755.086,482017.6273,41.6255
805035,3790754.102,482017.8021,41.624
805036,3790753.117,482017.9756,41.6225
805037,3790752.132,482018.1487,41.6211
805038,3790751.147,482018.3216,41.62
805039,3790750.162,482018.4942,41.6195
805040,3790749.177,482018.6666,41.6192
805041,3790748.192,482018.8387,41.6189
805042,3790747.207,482019.012,41.6186
805043,3790746.222,482019.1849,41.6183
805044,3790745.237,482019.3574,41.618
805045,3790744.252,482019.5294,41.6177
805046,3790743.267,482019.7,41.6173
805047,3790742.281,482019.8703,41.6168
805048,3790741.296,482020.0402,41.6163
805049,3790740.31,482020.2096,41.6156
805050,3790739.325,482020.3786,41.6149
805051,3790738.339,482020.5469,41.614
805052,3790737.353,482020.7147,41.6137
805053,3790736.367,482020.882,41.6136
805054,3790735.381,482021.0489,41.6134
805055,3790734.395,482021.2152,41.6131
805056,3790733.409,482021.3811,41.6127
805057,3790732.423,482021.5468,41.6122
805058,3790731.436,482021.712,41.6116
805059,3790730.45,482021.8766,41.6109
805060,3790729.464,482022.0407,41.6102
805061,3790728.477,482022.2041,41.6097
805062,3790727.49,482022.367,41.6092
805063,3790726.504,482022.5292,41.6085
805064,3790725.517,482022.6907,41.6084
805065,3790724.53,482022.8517,41.6085
805066,3790723.543,482023.0119,41.6084
805067,3790722.556,482023.1715,41.608
805068,3790721.568,482023.3303,41.6075
805069,3790720.581,482023.4885,41.6068
805070,3790719.593,482023.6459,41.6061
805071,3790718.606,482023.8026,41.6052
805072,3790717.618,482023.9585,41.6048
805072.347,3790717.275,482024.012,41.6048
805073,3790716.63,482024.1125,41.6048
805074,3790715.642,482024.2666,41.6048
805075,3790714.654,482024.4206,41.6042
805076,3790713.665,482024.5735,41.6023
805077,3790712.677,482024.7266,41.6014
805078,3790711.689,482024.8788,41.6006
805079,3790710.7,482025.0302,41.6
805080,3790709.712,482025.1806,41.5996
805081,3790708.723,482025.3301,41.5991
805082,3790707.734,482025.4786,41.5986
805083,3790706.745,482025.6266,41.598
805084,3790705.756,482025.7727,41.5975
805085,3790704.767,482025.9174,41.5969
805086,3790703.777,482026.0616,41.5963
805087,3790702.787,482026.2048,41.5958
805088,3790701.798,482026.347,41.5952
805089,3790700.808,482026.4882,41.5946
805090,3790699.817,482026.6284,41.5941
805091,3790698.827,482026.768,41.5935
805092,3790697.837,482026.9066,41.5929
805093,3790696.846,482027.0442,41.5923
805094,3790695.856,482027.1806,41.5917
805095,3790694.865,482027.3161,41.591
805096,3790693.874,482027.4515,41.5904
805097,3790692.883,482027.586,41.5897
805098,3790691.892,482027.7194,41.5891
805099,3790690.901,482027.8518,41.5884
805100,3790689.91,482027.983,41.5877
805101,3790688.918,482028.1131,41.5871
805102,3790687.927,482028.2413,41.5864
805103,3790686.935,482028.3681,41.5858
805104,3790685.943,482028.4936,41.5851
805105,3790684.95,482028.6177,41.5845
805106,3790683.958,482028.7407,41.5838
805107,3790682.965,482028.8626,41.5832
805108,3790681.973,482028.9834,41.5826
805109,3790680.98,482029.1032,41.5822
805110,3790679.987,482029.2221,41.5819
805110.5154,3790679.475,482029.2836,41.5818
805111,3790678.994,482029.3413,41.5814
805112,3790678.001,482029.4597,41.5806
805113,3790677.008,482029.577,41.5798
805114,3790676.015,482029.6933,41.579
805115,3790675.021,482029.8084,41.5782
805116,3790674.028,482029.9225,41.5766
805117,3790673.034,482030.0356,41.5741
805118,3790672.041,482030.1475,41.5717
805119,3790671.047,482030.2583,41.5696
805120,3790670.053,482030.3677,41.5686
805121,3790669.059,482030.4746,41.5677
805122,3790668.064,482030.5818,41.5676
805123,3790667.07,482030.6874,41.5671
805124,3790666.075,482030.7921,41.5665
805125,3790665.081,482030.8954,41.566
805126,3790664.086,482030.9979,41.5655
805127,3790663.091,482031.0995,41.5652
805128,3790662.096,482031.1999,41.5647
805129,3790661.101,482031.299,41.5642
805130,3790660.106,482031.3973,41.5637
805131,3790659.111,482031.4942,41.5634
805132,3790658.115,482031.5906,41.5631
805133,3790657.12,482031.6856,41.5628
805134,3790656.124,482031.7793,41.5625
805135,3790655.129,482031.8719,41.5622
805136,3790654.133,482031.9636,41.562
805137,3790653.137,482032.0538,41.5611
805138,3790652.141,482032.1436,41.5595
805139,3790651.145,482032.2325,41.5589
805140,3790650.149,482032.3199,41.5585
805141,3790649.152,482032.4064,41.5581
805142,3790648.156,482032.4919,41.5573
805143,3790647.16,482032.5761,41.557
805144,3790646.163,482032.6595,41.5565
805145,3790645.166,482032.7417,41.556
805146,3790644.17,482032.8228,41.5555
805147,3790643.173,482032.9029,41.5549
805148,3790642.176,482032.9817,41.5544
805149,3790641.179,482033.0595,41.5537
805150,3790640.182,482033.1363,41.5528
805151,3790639.185,482033.212,41.552
805152,3790638.188,482033.2868,41.5515
805153,3790637.19,482033.3604,41.5509
805154,3790636.193,482033.4329,41.5502
805155,3790635.195,482033.5043,41.5496
805156,3790634.198,482033.5747,41.5493
805157,3790633.2,482033.6439,41.5491
805158,3790632.203,482033.7121,41.5488
805159,3790631.205,482033.7792,41.5484
805160,3790630.207,482033.8452,41.5481
805161,3790629.209,482033.91,41.5478
805162,3790628.211,482033.9737,41.5474
805163,3790627.213,482034.0364,41.5471
805164,3790626.215,482034.0979,41.5462
805165,3790625.217,482034.1584,41.5454
805166,3790624.218,482034.2178,41.5448
805167,3790623.22,482034.2762,41.5443
805168,3790622.222,482034.3334,41.5437
805169,3790621.223,482034.3896,41.5432
805170,3790620.225,482034.4447,41.543
805171,3790619.226,482034.4987,41.5426
805172,3790618.228,482034.5517,41.542
805173,3790617.229,482034.6036,41.5414
805174,3790616.23,482034.6544,41.5408
805175,3790615.231,482034.7041,41.5402
805176,3790614.233,482034.7528,41.5397
805177,3790613.234,482034.8002,41.5393
805178,3790612.235,482034.8471,41.5389
805178.1625,3790612.072,482034.8547,41.5388
805179,3790611.236,482034.8938,41.5381
805180,3790610.237,482034.9392,41.5372
805181,3790609.238,482034.9827,41.5359
805182,3790608.239,482035.025,41.5351
805183,3790607.239,482035.0661,41.5345
805184,3790606.24,482035.1062,41.5338
805185,3790605.241,482035.1452,41.5332
805186,3790604.242,482035.1831,41.5326
805187,3790603.242,482035.22,41.5319
805188,3790602.243,482035.2557,41.5313
805189,3790601.243,482035.2904,41.5305
805190,3790600.244,482035.3241,41.5296
805191,3790599.244,482035.3566,41.5286
805192,3790598.245,482035.3881,41.5277
805193,3790597.245,482035.4185,41.5268
805194,3790596.246,482035.4478,41.5262
805195,3790595.246,482035.476,41.5255
805196,3790594.246,482035.5032,41.5248
805197,3790593.247,482035.5292,41.5242
805198,3790592.247,482035.5542,41.5235
805199,3790591.247,482035.5782,41.5228
805200,3790590.247,482035.601,41.5222
805201,3790589.248,482035.6228,41.5215
805202,3790588.248,482035.6435,41.5208
805203,3790587.248,482035.6631,41.5202
805204,3790586.248,482035.6816,41.5195
805205,3790585.248,482035.6991,41.5189
805206,3790584.248,482035.7155,41.5182
805207,3790583.248,482035.7308,41.5175
805208,3790582.248,482035.7449,41.5169
805209,3790581.248,482035.758,41.5162
805210,3790580.249,482035.7701,41.5156
805211,3790579.249,482035.7817,41.515
805212,3790578.249,482035.7922,41.5145
805213,3790577.249,482035.8016,41.514
805214,3790576.249,482035.8097,41.5135
805215,3790575.249,482035.8163,41.513
805216,3790574.249,482035.8218,41.5125
805217,3790573.248,482035.8262,41.512
805218,3790572.248,482035.8296,41.5115
805219,3790571.248,482035.8319,41.5109
805220,3790570.248,482035.8331,41.5103
805221,3790569.248,482035.8333,41.5096
805222,3790568.248,482035.8323,41.5091
805223,3790567.248,482035.8303,41.5085
805224,3790566.248,482035.8272,41.5079
805225,3790565.248,482035.8231,41.5074
805226,3790564.248,482035.8178,41.5068
805227,3790563.248,482035.8115,41.5063
805228,3790562.248,482035.8041,41.5057
805229,3790561.248,482035.7956,41.5051
805230,3790560.248,482035.7861,41.5046
805231,3790559.248,482035.7754,41.504
805232,3790558.248,482035.7637,41.5035
805232.6361,3790557.612,482035.7557,41.5027
805233,3790557.248,482035.7511,41.5022
805234,3790556.248,482035.7383,41.5017
805235,3790555.248,482035.7249,41.5016
805236,3790554.248,482035.7103,41.5016
805237,3790553.248,482035.6947,41.5016
805238,3790552.248,482035.6773,41.5018
805239,3790551.249,482035.6567,41.502
805240,3790550.249,482035.6351,41.5022
805241,3790549.249,482035.6134,41.5024
805242,3790548.249,482035.5919,41.5023
805243,3790547.249,482035.5687,41.5015
805244,3790546.25,482035.5439,41.5007
805245,3790545.25,482035.5178,41.4999
805246,3790544.25,482035.4911,41.4993
805247,3790543.25,482035.4633,41.4987
805248,3790542.251,482035.4345,41.4981
805249,3790541.251,482035.4049,41.4976
805250,3790540.252,482035.3741,41.4971
805251,3790539.252,482035.3423,41.4965
805252,3790538.253,482035.3098,41.4961
805253,3790537.253,482035.2758,41.4956
805254,3790536.254,482035.2406,41.4948
805255,3790535.254,482035.2046,41.4941
805256,3790534.255,482035.1676,41.4935
805257,3790533.255,482035.1295,41.4925
805258,3790532.256,482035.0909,41.4923
805259,3790531.257,482035.0517,41.4915
805260,3790530.258,482035.0122,41.4905
805261,3790529.258,482034.9712,41.4896
805262,3790528.259,482034.9292,41.4889
805263,3790527.26,482034.8868,41.4882
805264,3790526.261,482034.8436,41.4876
805265,3790525.262,482034.7994,41.4867
805266,3790524.263,482034.7549,41.4856
805267,3790523.264,482034.7104,41.4845
805268,3790522.265,482034.6653,41.4839
805269,3790521.266,482034.6192,41.4833
805270,3790520.267,482034.5729,41.4823
805271,3790519.268,482034.5261,41.4823
805272,3790518.269,482034.4789,41.4824
805273,3790517.27,482034.431,41.4822
805274,3790516.271,482034.3827,41.4813
805275,3790515.273,482034.3338,41.4803
805276,3790514.274,482034.2842,41.4793
805277,3790513.275,482034.2342,41.4784
805278,3790512.276,482034.1839,41.4774
805279,3790511.278,482034.1332,41.476
805280,3790510.279,482034.0821,41.4747
805281,3790509.28,482034.0309,41.474
805282,3790508.281,482033.979,41.4734
805283,3790507.283,482033.9264,41.4722
805284,3790506.284,482033.8734,41.4709
805284.62,3790505.665,482033.8404,41.4701
805285,3790505.286,482033.82,41.4696
805286,3790504.287,482033.7661,41.4683
805287,3790503.288,482033.7118,41.4659
805288,3790502.29,482033.6571,41.4642
805289,3790501.291,482033.6019,41.4632
805290,3790500.293,482033.5462,41.4621
805291,3790499.294,482033.4905,41.4598
805292,3790498.296,482033.4349,41.4573
805293,3790497.298,482033.378,41.4548
805294,3790496.299,482033.3203,41.4527
805295,3790495.301,482033.2621,41.4506
805296,3790494.303,482033.2035,41.4487
805297,3790493.304,482033.1448,41.4474
805298,3790492.306,482033.0858,41.4454
805299,3790491.308,482033.0266,41.4435
805300,3790490.309,482032.9681,41.4415
805301,3790489.311,482032.9081,41.4394
805302,3790488.313,482032.8467,41.4374
805303,3790487.315,482032.7847,41.4353
805304,3790486.317,482032.7223,41.4333
805305,3790485.319,482032.6594,41.4313
805306,3790484.321,482032.5964,41.4296
805307,3790483.323,482032.533,41.4266
805308,3790482.325,482032.4691,41.4236
805309,3790481.327,482032.4047,41.4205
805310,3790480.329,482032.3399,41.4183
805311,3790479.331,482032.2746,41.4158
805312,3790478.333,482032.2088,41.4127
805313,3790477.336,482032.1426,41.4105
805314,3790476.338,482032.0758,41.4083
805315,3790475.34,482032.0087,41.4063
805316,3790474.342,482031.9411,41.4044
805317,3790473.345,482031.8736,41.4026
805318,3790472.347,482031.8053,41.3998
805319,3790471.349,482031.7364,41.3969
805320,3790470.352,482031.6672,41.394
805321,3790469.354,482031.5974,41.3911
805322,3790468.357,482031.5272,41.3881
805323,3790467.359,482031.4565,41.3852
805324,3790466.362,482031.3853,41.3823
805325,3790465.364,482031.3131,41.3794
805326,3790464.367,482031.2405,41.3765
805327,3790463.37,482031.1678,41.3735
805328,3790462.372,482031.0947,41.3706
805329,3790461.375,482031.0211,41.3677
805330,3790460.378,482030.947,41.3648
805331,3790459.38,482030.8725,41.3621
805332,3790458.383,482030.7975,41.3595
805333,3790457.386,482030.722,41.3569
805334,3790456.389,482030.646,41.3542
805335,3790455.392,482030.5693,41.3516
805336,3790454.395,482030.492,41.3489
805337,3790453.398,482030.4143,41.3462
805338,3790452.401,482030.3365,41.3432
805339,3790451.404,482030.2587,41.3402
805340,3790450.407,482030.1804,41.3377
805341,3790449.41,482030.1016,41.3358
805342,3790448.413,482030.0224,41.334
805343,3790447.417,482029.9427,41.3321
805344,3790446.42,482029.8625,41.3307
805344.548,3790445.874,482029.8183,41.3293
805345,3790445.423,482029.7818,41.328
805346,3790444.426,482029.7006,41.3251
805347,3790443.43,482029.6189,41.3222
805348,3790442.433,482029.5367,41.3193
805349,3790441.436,482029.4541,41.3165
805350,3790440.44,482029.371,41.3136
805351,3790439.443,482029.2875,41.3107
805352,3790438.447,482029.2034,41.3078
805353,3790437.451,482029.1189,41.305
805354,3790436.454,482029.034,41.3021
805355,3790435.458,482028.9485,41.2992
805356,3790434.462,482028.8626,41.2964
805357,3790433.465,482028.7762,41.2935
805358,3790432.469,482028.6894,41.2906
805359,3790431.473,482028.6021,41.2877
805360,3790430.477,482028.5143,41.2849
805361,3790429.481,482028.426,41.282
805362,3790428.485,482028.3373,41.2791
805363,3790427.489,482028.2481,41.2763
805364,3790426.493,482028.1584,41.2731
805365,3790425.497,482028.068,41.2696
805366,3790424.501,482027.9773,41.2662
805367,3790423.505,482027.8882,41.2627
805368,3790422.509,482027.7976,41.2599
805369,3790421.513,482027.7056,41.256
805370,3790420.518,482027.6135,41.2533
805371,3790419.522,482027.5211,41.2508
805372,3790418.526,482027.4279,41.2485
805373,3790417.531,482027.3344,41.2458
805374,3790416.535,482027.24,41.2428
805375,3790415.54,482027.1451,41.2401
805376,3790414.544,482027.0499,41.2373
805377,3790413.549,482026.9547,41.2345
805378,3790412.553,482026.8583,41.2313
805379,3790411.558,482026.7613,41.2281
805380,3790410.563,482026.665,41.225
805381,3790409.567,482026.568,41.2225
805382,3790408.572,482026.4702,41.22
805383,3790407.577,482026.3715,41.2174
805384,3790406.582,482026.2725,41.2146
805385,3790405.587,482026.1736,41.2117
805386,3790404.592,482026.0744,41.2089
805387,3790403.597,482025.9737,41.2062
805388,3790402.602,482025.873,41.2035
805389,3790401.607,482025.7719,41.2007
805390,3790400.612,482025.6705,41.1985
