测量里程,中线北坐标X,中线东坐标Y,中线高程H
15238.739,3632584.243,508072.2331,26.5215
15238.987,3632584.008,508072.1554,26.521
15239.996,3632583.049,508071.8394,26.5186
15240.986,3632582.109,508071.5293,26.5159
15241.998,3632581.148,508071.2126,26.5135
15242.997,3632580.199,508070.8991,26.5121
15243.992,3632579.254,508070.587,26.5101
15244.99,3632578.307,508070.2743,26.5078
15245.991,3632577.356,508069.9609,26.5056
15246.985,3632576.411,508069.6494,26.5034
15247.995,3632575.453,508069.3332,26.5013
15248.99,3632574.507,508069.021,26.4996
15249.997,3632573.552,508068.7057,26.4978
15250.991,3632572.608,508068.3942,26.4957
15251.993,3632571.656,508068.0805,26.4934
15252.991,3632570.708,508067.7677,26.4913
15253.986,3632569.763,508067.4561,26.4893
15254.991,3632568.809,508067.1414,26.4869
15255.987,3632567.863,508066.8294,26.4839
15256.983,3632566.917,508066.5173,26.4812
15257.992,3632565.96,508066.2011,26.4791
15258.985,3632565.016,508065.8896,26.4772
15259.988,3632564.064,508065.5756,26.4753
15260.988,3632563.115,508065.2621,26.4736
15261.987,3632562.165,508064.949,26.4717
15262.984,3632561.219,508064.637,26.4692
15263.982,3632560.27,508064.3241,26.4665
15264.984,3632559.319,508064.0102,26.4638
15265.983,3632558.371,508063.6972,26.4616
15266.992,3632557.413,508063.3808,26.4596
15267.996,3632556.459,508063.0664,26.4575
15268.988,3632555.517,508062.7557,26.4551
15269.993,3632554.562,508062.4409,26.4532
15270.986,3632553.62,508062.1299,26.4514
15271.986,3632552.67,508061.8165,26.4496
15272.983,3632551.723,508061.504,26.447
15273.986,3632550.77,508061.1895,26.4439
15274.986,3632549.821,508060.876,26.4411
15275.994,3632548.864,508060.5603,26.4389
15276.989,3632547.918,508060.2485,26.4374
15277.985,3632546.973,508059.9365,26.4359
15278.985,3632546.023,508059.6229,26.4338
15279.988,3632545.071,508059.3091,26.4309
15280.989,3632544.12,508058.9954,26.4278
15281.996,3632543.164,508058.6799,26.425
15282.995,3632542.215,508058.3669,26.4229
15283.989,3632541.271,508058.0554,26.4211
15284.995,3632540.316,508057.74,26.4189
15285.984,3632539.377,508057.4291,26.4164
15286.985,3632538.427,508057.115,26.4137
15287.993,3632537.47,508056.7986,26.4111
15288.989,3632536.524,508056.4857,26.4087
15289.986,3632535.577,508056.1721,26.406
15290.99,3632534.624,508055.8569,26.403
15291.986,3632533.678,508055.5453,26.4003
15292.995,3632532.72,508055.2292,26.3986
15293.987,3632531.778,508054.9186,26.3966
15294.985,3632530.83,508054.6062,26.3945
15295.999,3632529.867,508054.2891,26.3928
15296.992,3632528.924,508053.9781,26.3912
15297.984,3632527.981,508053.6673,26.3894
15298.987,3632527.03,508053.3538,26.3872
15299.986,3632526.08,508053.0408,26.3846
15300.986,3632525.131,508052.7277,26.3822
15301.987,3632524.18,508052.4145,26.3797
15302.982,3632523.235,508052.1033,26.3774
15303.99,3632522.278,508051.788,26.375
15304.99,3632521.327,508051.4755,26.3732
15305.987,3632520.38,508051.1639,26.372
15306.997,3632519.421,508050.8482,26.371
15307.993,3632518.475,508050.5367,26.3698
15308.985,3632517.533,508050.2265,26.368
15309.996,3632516.573,508049.91,26.3658
15310.994,3632515.625,508049.5977,26.3639
15311.987,3632514.681,508049.2865,26.3623
15312.994,3632513.725,508048.9712,26.3607
15313.992,3632512.778,508048.6586,26.3587
15314.99,3632511.83,508048.3457,26.3563
15315.985,3632510.886,508048.0331,26.3546
15316.999,3632509.922,508047.7161,26.3528
15317.987,3632508.984,508047.4073,26.3516
15318.993,3632508.028,508047.0925,26.3504
15319.994,3632507.078,508046.7792,26.3489
15320.982,3632506.139,508046.4699,26.3474
15321.988,3632505.184,508046.1549,26.3458
15322.994,3632504.228,508045.8396,26.3439
15323.991,3632503.282,508045.5277,26.3424
15324.988,3632502.335,508045.2154,26.3412
15325.995,3632501.378,508044.8999,26.3402
15326.987,3632500.436,508044.5894,26.3392
15327.994,3632499.479,508044.2741,26.3379
15328.986,3632498.537,508043.9633,26.3365
15329.991,3632497.584,508043.6488,26.3349
15330.994,3632496.63,508043.3342,26.3335
15331.993,3632495.682,508043.0213,26.3322
15332.986,3632494.739,508042.7101,26.3308
15333.992,3632493.784,508042.3948,26.3296
15334.983,3632492.842,508042.0843,26.3286
