¹ìÕí±àºÅ,²âÁ¿Àï³Ì,×ó¹ìºáÆ«,ÓÒ¹ìºáÆ«,×ó¹ìÊúÆ«,ÓÒ¹ìÊúÆ«
09,384765.132,3.9,3.8,5.7,5.9
00,384765.757,4.1,4,5.7,5.9
01,384766.382,4.1,3.9,5.7,5.8
02,384767.007,3.9,3.7,5.8,5.9
03,384767.632,3.8,3.6,5.7,5.9
04,384768.382,3.8,3.7,5.7,5.9
05,384769.007,3.9,3.7,5.7,5.9
06,384769.631,4,3.9,5.6,5.9
07,384770.256,3.9,3.6,5.7,5.8
08,384770.881,3.9,3.6,5.7,5.8
09,384771.631,3.9,3.5,5.6,5.6
00,384772.256,3.8,3.4,5.3,5.5
01,384772.881,4,3.7,5.1,5.4
02,384773.506,4,3.8,5.1,5.4
03,384774.131,3.9,3.8,5.2,5.5
04,384774.881,3.9,3.7,5.2,5.4
05,384775.506,3.8,3.5,5,5.1
06,384776.13,3.7,3.5,4.9,4.9
07,384776.755,3.7,3.4,4.8,4.9
08,384777.38,3.6,3.1,4.8,5
09,384778.13,3.4,3.2,4.7,5.1
00,384778.755,3.4,3.2,4.7,5
01,384779.38,3.6,3.4,4.8,5
02,384780.005,3.5,3.2,5,5.1
03,384780.63,3.4,3.1,5.2,5.1
04,384781.379,3.4,3.3,5.3,5.2
05,384782.004,3.5,3.3,5.2,5.2
06,384782.629,3.5,3.2,5.3,5.3
07,384783.254,3.4,3.2,5.4,5.6
08,384783.879,3.5,3.4,5.6,5.8
09,384784.629,3.6,3.3,5.6,5.9
00,384785.254,3.5,3.1,5.6,5.9
01,384785.879,3.5,3.1,5.6,6
02,384786.504,3.3,3,5.7,6.1
03,384787.128,3.3,3.2,5.8,6.1
04,384787.753,3.4,3.3,5.9,6.2
05,384788.503,3.4,3.3,6.1,6.4
06,384789.128,3.5,3.5,6.3,6.4
07,384789.753,3.6,3.5,6.4,6.5
08,384790.378,3.6,3.4,6.5,6.5
09,384791.128,3.4,2.9,6.5,6.6
00,384791.752,3.3,2.8,6.5,6.7
01,384792.377,3.3,2.9,6.5,6.7
02,384793.002,3.4,3,6.6,6.6
