测量里程,中线北坐标X,中线东坐标Y,中线高程H
279409.55,3805267.948,464567.8493,43.55845
279411,3805268.251,464566.4312,43.559131
279412,3805268.46,464565.4533,43.559258
279413,3805268.669,464564.4753,43.559034
279414,3805268.877,464563.4974,43.559071
279415,3805269.086,464562.5194,43.559477
279416,3805269.295,464561.5414,43.559894
279417,3805269.503,464560.5634,43.56065
279418,3805269.712,464559.5854,43.561667
279419,3805269.921,464558.6075,43.562443
279420,3805270.13,464557.6296,43.56261
279421,3805270.339,464556.6517,43.562726
279422,3805270.548,464555.6737,43.563252
279423,3805270.756,464554.6956,43.563789
279424,3805270.965,464553.7176,43.564355
279425,3805271.173,464552.7396,43.564692
279426,3805271.381,464551.7615,43.564798
279427,3805271.59,464550.7835,43.564875
279428,3805271.799,464549.8056,43.564641
279429,3805272.008,464548.8277,43.564788
279430,3805272.217,464547.8497,43.565074
279431,3805272.425,464546.8717,43.565621
279432,3805272.633,464545.8936,43.565957
279433,3805272.842,464544.9155,43.566174
279434,3805273.05,464543.9376,43.56657
279435,3805273.259,464542.9596,43.566646
279436,3805273.468,464541.9817,43.566723
279437,3805273.677,464541.0037,43.567039
279438,3805273.886,464540.0258,43.567346
279439,3805274.095,464539.0479,43.567402
279440,3805274.303,464538.0699,43.567839
279441,3805274.512,464537.0918,43.568685
279442,3805274.721,464536.1139,43.569372
279443,3805274.929,464535.1359,43.569608
279444,3805275.138,464534.1578,43.569675
279445,3805275.346,464533.1798,43.570041
279446,3805275.555,464532.2019,43.570227
279447,3805275.764,464531.2239,43.570314
279448,3805275.972,464530.2459,43.57034
279449,3805276.181,464529.268,43.570877
279450,3805276.39,464528.29,43.571743
279451,3805276.599,464527.312,43.5723
279452,3805276.807,464526.334,43.572686
279453,3805277.016,464525.356,43.572993
279454,3805277.225,464524.378,43.573399
279455,3805277.433,464523.4,43.573806
279456,3805277.642,464522.422,43.574262
279457,3805277.85,464521.444,43.574539
279458,3805278.059,464520.466,43.574855
279459,3805278.268,464519.488,43.575231
279460,3805278.476,464518.5101,43.575828
279461,3805278.685,464517.5321,43.576514
279462,3805278.894,464516.5542,43.577021
279463,3805279.103,464515.5763,43.577237
279464,3805279.312,464514.5983,43.577214
279465,3805279.521,464513.6203,43.57748
279466,3805279.729,464512.6423,43.577857
279467,3805279.938,464511.6643,43.578263
279468,3805280.146,464510.6863,43.57869
279469,3805280.355,464509.7083,43.579036
279470,3805280.564,464508.7304,43.579062
279471,3805280.773,464507.7524,43.579139
279472,3805280.982,464506.7745,43.579535
279473,3805281.191,464505.7966,43.580112
279474,3805281.399,464504.8185,43.580738
279475,3805281.608,464503.8405,43.581225
279476,3805281.816,464502.8625,43.581571
279477,3805282.025,464501.8845,43.581578
279478,3805282.233,464500.9065,43.581384
279479,3805282.442,464499.9286,43.581331
279480,3805282.651,464498.9506,43.581507
279481,3805282.86,464497.9727,43.581824
279482,3805283.069,464496.9947,43.5823
279483,3805283.278,464496.0168,43.582816
279484,3805283.487,464495.0389,43.583713
279485,3805283.695,464494.0609,43.584599
279486,3805283.904,464493.0829,43.585076
279487,3805284.113,464492.105,43.585442
279488,3805284.321,464491.1269,43.586049
279489,3805284.53,464490.149,43.586875
279490,3805284.739,464489.171,43.587452
279491,3805284.948,464488.1931,43.588178
279492,3805285.157,464487.2152,43.588985
279493,3805285.366,464486.2372,43.589891
279494,3805285.575,464485.2593,43.590427
